"oxygen tolerance","pH optimum","salinity optimum","temperature optimum","doubling time","genome size","GC content","gene density","proportion free living","biosynthetic clusters","proportion_RS_genomes","Uncultivated"
0,7.8254953417839,3.0083318636624,46.9090670584463,12.778655,1782931.56562878,0.37,1.11769229801178,1,0,0,"Uncultivated"
0,3.86578909684077,2.94474106672016,51.8746808774926,4.400552,1113813.00089047,0.48,1.23919501891571,0,0,0,"Uncultivated"
0,6.37367638423257,3.46347479096575,45.0932360811911,8.437082,935520.030816641,0.54,1.16321681949757,0,0,0,"Uncultivated"
0,3.40458056641379,2.30643562621251,48.8228930197238,8.244881,842907.222300436,0.49,1.16248578209738,0,0,0,"Uncultivated"
0,3.13513971542871,2.81085524823188,45.6739118176416,9.651401,822865.225591179,0.5,1.28173257804553,0,0,0,"Uncultivated"
1,7.20579380634901,1.79152541757339,42.4695193152179,12.13077,1481900.59502975,0.53,1.45259920780199,0,0,0,"Uncultivated"
0,7.41666928446001,0,37.380565795355,10.5516,1487572.00694043,0.51,1.05987063823964,0,0,0,"Uncultivated"
1,6.80359200953845,0,45.5297361858705,8.007443,1144950.61398825,0.52,1.20164865569054,0,0,0,"Uncultivated"
0,8.60636451447893,4.24817174780218,48.4835261129513,8.9297715,823154.196278847,0.39,1.26987718546009,0,0,0,"Uncultivated"
0,7.1712394110342,2.6872211501963,44.295820164968,7.374481,1448820.59800664,0.29,1.18208188582763,0,0,0,"Uncultivated"
0,7.91473485847792,4.57104611065948,56.5361294993852,11.89336,1161704.22031474,0.32,1.22070425245334,0,0,0,"Uncultivated"
0,7.58242814661909,3.51623410585504,43.2565179177586,9.1371,1871106.08020699,0.37,1.12091346236946,0,0,0,"Uncultivated"
0,7.48795348828241,4.08158917192662,53.9817055441796,9.6024935,837704.98626488,0.3,1.30816746709436,0,0,0,"Uncultivated"
0,7.50561783558224,3.24468002776016,37.7194884685863,5.57131,2050085.02640294,0.285,1.23991415121943,0,0,0,"Uncultivated"
0,7.64015028303114,4.71009521622012,59.114228425244,17.545555,1016117.97192606,0.33,1.29684208875006,0,0,0,"Uncultivated"
0,7.46256914168095,4.30294807175166,47.9515012370776,18.94406,1719058.99326707,0.36,1.2290774738448,0,0,0,"Uncultivated"
0,7.89214735640006,2.27212669216537,54.9782837885,6.56134,1282591.58505622,0.4,1.26980948651748,0,0,0,"Uncultivated"
0,7.67319492703912,4.00582806460935,44.9623693889491,6.50781225,1243567.82025183,0.305,1.26586975934892,0,0,0,"Uncultivated"
0,8.74294562775686,3.79172696999263,47.1107148247783,6.263948,1131777.94036949,0.36,1.38991471418667,0,0,0,"Uncultivated"
0,6.76252256291681,1.81216780866018,45.5709287215038,12.76347,1442424.57689478,0.38,1.18224414680743,0,0,0,"Uncultivated"
0,8.06923719717996,5.19139832890782,44.2340451867193,10.53488,799300.295649725,0.33,1.25761127834249,0,0,0,"Uncultivated"
0,6.85863277057886,1.51649056918815,47.3419378558125,8.484318,1737157.94306703,0.3,1.20610470468936,0,0,0,"Uncultivated"
0,7.67650147180012,3.28790900428032,52.1284247127808,10.510505,1519920.54663912,0.38,1.13697135724024,0,0,0,"Uncultivated"
0,7.17864505780328,3.09259920107675,46.8712035061981,10.965284,1467779.40936531,0.36,1.1514092877593,0,1,0,"Uncultivated"
0,6.77099784971791,0,37.5956205987014,12.643895,1602799.04894646,0.375,1.20608397602026,0,0,0,"Uncultivated"
0,8.66369459428677,2.88851963406861,49.3068276625215,8.372473,1319023.07461792,0.32,1.208656891389,0,0,0,"Uncultivated"
0,6.87897942264529,2.25098843479052,48.044930853666,8.86180725,1008961.23384744,0.355,1.22157285714152,0,0,0,"Uncultivated"
0,8.58045015882735,4.11149960326365,46.8303509056943,11.32082,1579997.7071232,0.32,1.26886661149107,0,0,0,"Uncultivated"
0,7.65526925626507,3.85584413682948,44.7029522146265,30.04502,1506061.60235335,0.39,1.35002694309091,0,0,0,"Uncultivated"
0,5.07347599290575,3.14005789618472,50.6574999108696,8.412128,880632.334909791,0.37,1.2889032984388,0,0,0,"Uncultivated"
0,8.01349447593111,6.04103529434647,53.3639564613808,9.75818533333333,1100089.47804474,0.28,1.38189054726368,0,0,0,"Uncultivated"
0,8.13862192130398,3.74600607470813,45.7525622863278,6.012166,1213118.02232855,0.29,1.41495480690222,0,0,0,"Uncultivated"
0,9.04356957272222,4.53071764897082,48.7002188482685,5.1416695,929357.997823721,0.335,1.26888327856879,0,0,0,"Uncultivated"
0,8.42627068625707,5.71104211607106,51.7417472359914,15.73308,2075510.77788191,0.36,1.21197343050795,0,0,0,"Uncultivated"
0,8.0767440649533,4.48819130883994,54.5024649939075,8.851727,1641728.55953372,0.31,1.38458074083692,0,0,0,"Uncultivated"
0,8.29299764379116,3.09029880286303,48.4899316890477,17.2936025,1278320.84618775,0.43,1.3052169757352,0,0,0,"Uncultivated"
0,7.8893499964761,3.8580480646226,51.7475007410334,8.193968,963797.348484849,0.31,1.43450877899722,0,0,0,"Uncultivated"
